BenchmarkName, Matrix Size, Sparsity, Memory Usage (bytes)
BasicMultiplication, 16, 0.0, 3030016
BasicMultiplication, 16, 0.5, 3491840
BasicMultiplication, 16, 0.9, 3953664
BasicMultiplication, 128, 0.0, 10233856
BasicMultiplication, 128, 0.5, 11408384
BasicMultiplication, 128, 0.9, 16290816
BasicMultiplication, 1024, 0.0, 53583360
BasicMultiplication, 1024, 0.5, 294264832
BasicMultiplication, 1024, 0.9, 295125504
AccessOptimized, 16, 0.0, 3491840
AccessOptimized, 16, 0.5, 3491840
AccessOptimized, 16, 0.9, 3953664
AccessOptimized, 128, 0.0, 10738688
AccessOptimized, 128, 0.5, 11408384
AccessOptimized, 128, 0.9, 16290816
AccessOptimized, 1024, 0.0, 53626368
AccessOptimized, 1024, 0.5, 294264832
AccessOptimized, 1024, 0.9, 295135232
Blocking, 16, 0.0, 3030016
Blocking, 16, 0.5, 4194304
Blocking, 16, 0.9, 5115904
Blocking, 128, 0.0, 6291456
Blocking, 128, 0.5, 11010048
Blocking, 128, 0.9, 15728640
Blocking, 1024, 0.0, 35132416
Blocking, 1024, 0.5, 301989888
Blocking, 1024, 0.9, 304087040
LoopUnrolling, 16, 0.0, 3491840
LoopUnrolling, 16, 0.5, 3491840
LoopUnrolling, 16, 0.9, 3953664
LoopUnrolling, 128, 0.0, 10233856
LoopUnrolling, 128, 0.5, 11408384
LoopUnrolling, 128, 0.9, 16290816
LoopUnrolling, 1024, 0.0, 53733376
LoopUnrolling, 1024, 0.5, 294264832
LoopUnrolling, 1024, 0.9, 295135232
Strassen, 16, 0.0, 3953664
Strassen, 16, 0.5, 5115904
Strassen, 16, 0.9, 6038528
Strassen, 128, 0.0, 56340480
Strassen, 128, 0.5, 16341606
Strassen, 128, 0.9, 121388032
Strassen, 1024, 0.0, 216085504
Strassen, 1024, 0.5, 132158464
Strassen, 1024, 0.9, 284958696
CSCSparseMultiplication, 16, 0.0, 3491840
CSCSparseMultiplication, 16, 0.5, 3491840
CSCSparseMultiplication, 16, 0.9, 3953664
CSCSparseMultiplication, 128, 0.0, 7389184
CSCSparseMultiplication, 128, 0.5, 13407232
CSCSparseMultiplication, 128, 0.9, 17321984
CSCSparseMultiplication, 1024, 0.0, 246145024
CSCSparseMultiplication, 1024, 0.5, 150915072
CSCSparseMultiplication, 1024, 0.9, 153456640
CSRMultiplication, 16, 0.0, 3491840
CSRMultiplication, 16, 0.5, 3953664
CSRMultiplication, 16, 0.9, 3953664
CSRMultiplication, 128, 0.0, 10943488
CSRMultiplication, 128, 0.5, 15820800
CSRMultiplication, 128, 0.9, 18221568
CSRMultiplication, 1024, 0.0, 317323264
CSRMultiplication, 1024, 0.5, 334831104
CSRMultiplication, 1024, 0.9, 236764160
